ID,tipologia,titolare,numero_col,numero_pdr,LONG_X_4326,LAT_Y_4326
0,QN,A2A Energy Solutions,2,4,9.19357713616389,45.4621490324913
1,Q,A2A Energy Solutions,3,6,9.17760367245734,45.467629357113
2,QN,A2A Energy Solutions,2,4,9.20490805319666,45.4844835706687
3,N,A2A Energy Solutions,1,2,9.23541763461848,45.4842765276858
4,N,A2A Energy Solutions,2,4,9.16916994362816,45.437301971912
5,N,A2A Energy Solutions,1,2,9.19284390459348,45.4592234422341
6,F,A2A Energy Solutions,1,2,9.17751245902057,45.4633000930932
7,N,A2A Energy Solutions,1,2,9.20373148951774,45.4673525978868
8,N,A2A Energy Solutions,1,2,9.17404513505665,45.468364867932
9,F,A2A Energy Solutions,1,2,9.19832077590361,45.4769937197823
10,N,A2A Energy Solutions,1,2,9.19163895056757,45.4669652505341
11,N,A2A Energy Solutions,1,2,9.20038291992955,45.4619270367049
12,F,A2A Energy Solutions,1,2,9.20038291992955,45.4619270367049
13,N,A2A Energy Solutions,1,2,9.18445818622094,45.4644608417621
14,N,A2A Energy Solutions,1,2,9.18079527779132,45.4654584216266
15,F,A2A Energy Solutions,1,2,9.19302595669554,45.4893716198754
16,F,A2A Energy Solutions,1,2,9.22634197053648,45.4793915365607
17,F,A2A Energy Solutions,1,2,9.21549458794398,45.4683035908343
18,N,A2A Energy Solutions,1,2,9.23528995608771,45.4842321329447
19,F,A2A Energy Solutions,1,2,9.20947625712008,45.4479438737278
20,N,A2A Energy Solutions,1,2,9.18827353746232,45.4482430551292
21,N,A2A Energy Solutions,2,4,9.16454276305624,45.4528026026317
22,N,A2A Energy Solutions,1,2,9.1706011634287,45.4537810629152
23,N,A2A Energy Solutions,1,2,9.17368920066578,45.4561651061866
24,N,A2A Energy Solutions,2,4,9.16028753268555,45.4679424935474
25,F,A2A Energy Solutions,1,2,9.1604512999911,45.4779248509335
26,N,A2A Energy Solutions,2,4,9.15152088038124,45.4749198056338
27,F,A2A Energy Solutions,1,2,9.164146471965,45.5043665956518
28,F,A2A Energy Solutions,1,2,9.19628857780084,45.4857243206468
29,F,A2A Energy Solutions,1,2,9.21330784596253,45.5124369134285
30,F,NHP,1,2,9.18168167627251,45.4521406317237
31,F,NHP,1,2,9.1907444192244,45.447837992559
32,F,NHP,1,2,9.23767014070014,45.4336920988026
33,F,NHP,1,2,9.20379091881991,45.451342057782
34,F,NHP,1,2,9.17293471486068,45.4556563353872
35,F,NHP,1,2,9.22270801524904,45.4395421421532
36,F,NHP,1,2,9.18553922297268,45.4434794933713
37,F,NHP,1,2,9.22034226183595,45.4553005608116
38,N,Sorgenia,5,10,9.14535265292101,45.4836453973264
39,N,BeCharge,1,2,9.22047022019666,45.4431341858918
40,F,BeCharge,2,4,9.20053462723581,45.472645734693
41,N,BeCharge,1,2,9.18444022513425,45.4704867420259
42,N,BeCharge,1,2,9.20967741632054,45.4997494327874
43,F,BeCharge,1,2,9.20760744136245,45.4908042586987
44,N,BeCharge,1,2,9.22311298476399,45.479865267431
45,N,BeCharge,1,2,9.20566375680325,45.4547173110668
46,N,BeCharge,1,2,9.2055470138036,45.4438687893902
47,N,BeCharge,1,2,9.12416180090202,45.4484048197438
48,N,BeCharge,1,2,9.152529687557,45.453837544854
49,F,BeCharge,1,2,9.16066568177241,45.4857403763008
50,N,BeCharge,1,2,9.18967166510033,45.4825802028036
51,N,BeCharge,1,2,9.21421179962212,45.5209004739644
52,N,ENERMIA,1,2,9.19064692438884,45.4626172199336
53,N,ENERMIA,1,2,9.18519617685508,45.4692289971431
54,F,BeCharge,1,2,9.23680308494021,45.4907432510757
55,N,ENNE EFFE HOTELS,4,8,9.19814479158176,45.485083941163
56,N,A2A Energy Solutions,1,2,9.18500299987841,45.477596201226
57,N,A2A Energy Solutions,1,2,9.16783270214623,45.4595881074226
58,N,A2A Energy Solutions,1,2,9.18079008710115,45.4601071057159
59,N,A2A Energy Solutions,1,2,9.2006224122266,45.4841143018014
60,N,A2A Energy Solutions,1,2,9.20161617375906,45.4867809163886
61,N,A2A Energy Solutions,1,2,9.19851672786488,45.5012203512227
62,N,A2A Energy Solutions,1,2,9.19671941280064,45.4933882584544
63,N,A2A Energy Solutions,1,2,9.20129419173525,45.479294692534
64,N,A2A Energy Solutions,1,2,9.2062402709769,45.4845785038225
65,N,A2A Energy Solutions,1,2,9.21027667413444,45.4886905906978
66,N,A2A Energy Solutions,1,2,9.21527989483866,45.4866734517656
67,N,A2A Energy Solutions,1,2,9.21615929163894,45.4928486596312
68,N,A2A Energy Solutions,1,2,9.22296380757141,45.4914701369774
69,N,A2A Energy Solutions,1,2,9.22147570144721,45.5010537594212
70,N,Route 220,1,2,9.16197924107638,45.4698140569358
71,N,BeCharge,1,2,9.18844823173087,45.4750543951368
72,N,ENEL X Mobility,1,2,9.18409982554149,45.4588127481421
73,N,ENEL X Mobility,1,2,9.18319445578912,45.4718436714928
74,N,PowerPoint City Car,1,2,9.18612214814892,45.4768806011533
75,N,PowerPoint City Car,1,2,9.19547841734976,45.4776694686011
76,N,BeCharge,1,2,9.20145492882807,45.4792213822404
77,F,ENEL X Mobility,1,2,9.20699639154412,45.4865436597127
78,N,BeCharge,1,2,9.2145599542051,45.4847927758193
79,N,ENEL X Mobility,1,2,9.21505627754977,45.480375288418
80,N,ENEL X Mobility,1,2,9.22010656126542,45.4606653012032
81,N,A2A Energy Solutions,1,2,9.20397693299743,45.446910615319
82,N,ENEL X Mobility,1,2,9.19952917997623,45.4309480924723
83,N,ENEL X Mobility,1,2,9.15779755170067,45.4326866963328
84,F,BeCharge,1,2,9.16022441912933,45.4521189388768
85,N,ENEL X Mobility,1,2,9.17264605494632,45.4500632980483
86,N,BeCharge,1,2,9.15334701209646,45.4672737424016
87,F,BeCharge,1,2,9.14568341920794,45.4669363796722
88,N,BeCharge,1,2,9.12859647957343,45.4750911471975
89,F,ENEL X Mobility,1,2,9.13901692541641,45.5079148184989
90,N,PowerPoint City Car,1,2,9.16261104114488,45.477749764785
91,N,A2A Energy Solutions,1,2,9.1741501161922,45.4965985946768
92,N,A2A Energy Solutions,1,2,9.18634732177231,45.4824216225314
93,N,A2A Energy Solutions,1,2,9.19819611452847,45.5072517341176
94,N,A2A Energy Solutions,1,2,9.19203049714587,45.5081623085386
95,N,A2A Energy Solutions,1,2,9.20651263106266,45.5174025637648
96,N,A2A Energy Solutions,1,2,9.20999255201008,45.5130692274468
97,F,BeCharge,1,2,9.18740262283023,45.4887449012149
98,N,BeCharge,1,2,9.19019214574042,45.5094939685485
99,F,NHP,1,2,9.20857966890648,45.4480367495468
100,F,NHP,1,2,9.19732287559529,45.4434597276485
101,F,A2A Energy Solutions,1,2,9.16259474010155,45.4426983338661
102,N,BeCharge,1,2,9.17963379354786,45.4564264573651
103,N,BeCharge,2,4,9.19189364217952,45.4554430731524
104,N,A2A Energy Solutions,1,2,9.18770063274657,45.457702969074
105,F,BeCharge,1,2,9.18365170944267,45.463662573688
106,N,BeCharge,1,2,9.16666852348748,45.5011458939269
107,N,BeCharge,1,2,9.21552399918522,45.4761237485997
108,N,BeCharge,2,4,9.23132212021288,45.4770456610886
109,N,BeCharge,2,4,9.21473145234229,45.4833598610961
110,F,BeCharge,1,2,9.24576789212307,45.4797171273212
111,N,BeCharge,2,4,9.20130511408012,45.4703799435561
112,N,A2A Energy Solutions,1,2,9.2108971574025,45.4608718538976
113,N,BeCharge,2,4,9.26176017927472,45.4702530315359
114,N,A2A Energy Solutions,1,2,9.20202548662596,45.4439245644657
115,F,BeCharge,1,2,9.19493169813868,45.4542370240031
116,N,A2A Energy Solutions,1,2,9.19875353199482,45.4424851257638
117,N,A2A Energy Solutions,1,2,9.22348478809926,45.4405014088572
118,F,A2A Energy Solutions,1,2,9.22091641220416,45.4494223838908
119,N,A2A Energy Solutions,1,2,9.22381991675679,45.4484662269878
120,N,A2A Energy Solutions,1,2,9.19893697461364,45.4366853886324
121,N,A2A Energy Solutions,1,2,9.16330178125329,45.4540063356585
122,N,A2A Energy Solutions,1,2,9.22317530472312,45.5184674506614
123,N,A2A Energy Solutions,1,2,9.15778776822568,45.4555856013423
124,F,A2A Energy Solutions,1,2,9.18387307871028,45.4372770951822
125,N,A2A Energy Solutions,1,2,9.17431050170726,45.4450454448482
126,N,A2A Energy Solutions,1,2,9.16231884691589,45.4446106304026
127,N,A2A Energy Solutions,1,2,9.16739391373893,45.4453147330849
128,N,A2A Energy Solutions,1,2,9.15502316461871,45.4443025856004
129,N,A2A Energy Solutions,1,2,9.17421499032243,45.4328754820258
130,F,BeCharge,1,2,9.15788923024834,45.4369647233168
131,N,A2A Energy Solutions,1,2,9.16209679199227,45.4329681415397
132,N,A2A Energy Solutions,1,2,9.16564463402805,45.4689799978889
133,N,A2A Energy Solutions,1,2,9.17087346673212,45.4603383244042
134,N,A2A Energy Solutions,1,2,9.15525565205728,45.4605375816469
135,F,A2A Energy Solutions,1,2,9.15407001590182,45.4669057050711
136,N,BeCharge,1,2,9.14449453408694,45.4803203609071
137,N,A2A Energy Solutions,1,2,9.21617346027809,45.444075093941
138,F,BeCharge,1,2,9.18938888610557,45.4808200751062
139,N,PowerPoint City Car,1,2,9.15203510083367,45.4755004950556
140,N,PowerPoint City Car,1,2,9.21462488020885,45.4630591031855
141,N,PowerPoint City Car,1,2,9.15786079399124,45.4837556080614
142,N,PowerPoint City Car,1,2,9.15803349745234,45.4752432351005
143,N,PowerPoint City Car,1,2,9.15912151278138,45.4401866113509
144,N,E.ON Energia S.p.A.,1,2,9.19292616939943,45.480591248432
145,N,PowerPoint City Car,1,2,9.19989498807973,45.5100928197449
146,N,PowerPoint City Car,1,2,9.19506969851038,45.4734344632259
147,N,PowerPoint City Car,1,2,9.16421925259784,45.4642859212012
148,N,PowerPoint City Car,1,2,9.18963748284387,45.4588107527771
149,F,BeCharge,1,2,9.17438715565353,45.4563636314483
150,N,PowerPoint City Car,1,2,9.21121243950932,45.488344562394
151,F,Coima,1,2,9.19437321816867,45.4822349784639
152,N,BeCharge,1,2,9.21734655766461,45.4771216292661
153,N,PowerPoint City Car,1,2,9.15629353009938,45.4850602863159
154,N,BeCharge,1,2,9.1930555640878,45.4710264990618
155,N,PowerPoint City Car,1,2,9.10299304535169,45.4706446983582
156,N,PowerPoint City Car,1,2,9.21143074906597,45.4865093218814
157,N,PowerPoint City Car,1,2,9.18932121623736,45.4817324217379
158,N,BeCharge,1,2,9.20236699510228,45.4666405816052
159,N,Edison,2,4,9.17876374556247,45.4676226648324
160,N,PowerPoint City Car,1,2,9.20074388552535,45.4768193434451
161,N,PowerPoint City Car,1,2,9.2063696566355,45.473234522042
162,N,PowerPoint City Car,1,2,9.21343526737256,45.4674804351939
163,N,PowerPoint City Car,1,2,9.1678721217809,45.4641523353582
164,N,PowerPoint City Car,1,2,9.22899287012821,45.4717798528721
165,F,BeCharge,1,2,9.22024118092861,45.4609709413377
166,N,PowerPoint City Car,1,2,9.1954940186422,45.4729991709028
167,N,PowerPoint City Car,1,2,9.17061134449205,45.440815539438
168,N,PowerPoint City Car,1,2,9.21126046001236,45.4712557433666
169,N,BeCharge,1,2,9.18159596131271,45.4713757631058
170,F,BeCharge,1,2,9.18306418065817,45.4778176573358
171,N,A2A Energy Solutions,1,2,9.1856165791586,45.4681432036967
172,Q,A2A Energy Solutions,3,6,9.15151951081469,45.4735847697994
173,F,BeCharge,1,2,9.21045662578238,45.5229136091589
174,N,BeCharge,1,2,9.18819669291269,45.4659476907798
175,N,BeCharge,3,6,9.20718654501808,45.4855794881911
176,N,BeCharge,1,2,9.19190857198543,45.4970385328416
177,N,BeCharge,1,2,9.14124862163185,45.4481477245713
178,N,BeCharge,1,2,9.21339981454641,45.5155888770584
179,F,BeCharge,1,2,9.18496519958573,45.4382374702168
180,N,BeCharge,1,2,9.21504693732221,45.4922922161208
181,F,BeCharge,1,2,9.1999087522132,45.4393956711566
182,N,BeCharge,1,2,9.09687409614283,45.4999120879675
183,N,BeCharge,1,2,9.24667222744773,45.4913138942829
184,F,BeCharge,1,2,9.16514582844538,45.4576114496557
185,N,BeCharge,1,2,9.15515922518806,45.4604650295818
186,F,BeCharge,1,2,9.17664656480476,45.5095602712758
187,F,BeCharge,1,2,9.23637111139814,45.499214224443
188,N,BeCharge,1,2,9.1618703899562,45.4330228219386
189,F,A2A Energy Solutions,1,2,9.19171843989548,45.458431798758
190,N,A2A Energy Solutions,1,2,9.18387998053045,45.465119081868
191,N,A2A Energy Solutions,1,2,9.19277540751043,45.4730374650169
192,F,BeCharge,1,2,9.21242473579639,45.49593091505
193,F,A2A Energy Solutions,1,2,9.19430515251618,45.5149358121133
194,N,A2A Energy Solutions,1,2,9.24735010587157,45.5077458739746
195,N,A2A Energy Solutions,1,2,9.24616512517704,45.4788509273717
196,N,BeCharge,2,4,9.20372125158046,45.4693012931834
197,N,A2A Energy Solutions,1,2,9.22121676193686,45.4610523820483
198,N,A2A Energy Solutions,1,2,9.12499752994839,45.4461017811229
199,N,BeCharge,1,2,9.16091539719194,45.4474020517558
200,N,BeCharge,2,4,9.1559391418448,45.4470135054145
201,N,A2A Energy Solutions,1,2,9.16871273501036,45.4711753304714
202,N,A2A Energy Solutions,1,2,9.16583732848583,45.46523284434
203,N,A2A Energy Solutions,1,2,9.14880645114811,45.466343140075
204,N,A2A Energy Solutions,1,2,9.1577716722165,45.4752503242759
205,F,A2A Energy Solutions,1,2,9.14975953242165,45.4736701869338
206,N,A2A Energy Solutions,1,2,9.14765306983145,45.4781426327859
207,N,A2A Energy Solutions,1,2,9.14534387286356,45.4805666024476
208,N,A2A Energy Solutions,1,2,9.146522604651,45.4840734012421
209,N,A2A Energy Solutions,1,2,9.1406512534335,45.4830288801404
210,N,A2A Energy Solutions,1,2,9.12122004883544,45.4717430387763
211,F,BeCharge,1,2,9.13566230732729,45.4620240510136
212,N,A2A Energy Solutions,1,2,9.10938539524089,45.459982731687
213,N,A2A Energy Solutions,1,2,9.17252534542837,45.4817915746894
214,N,A2A Energy Solutions,1,2,9.17727850793804,45.4809774938914
215,F,BeCharge,1,2,9.16765293100566,45.4788846428581
216,N,A2A Energy Solutions,1,2,9.1603826648043,45.4806031388523
217,F,A2A Energy Solutions,1,2,9.15289513958425,45.4843272322494
218,N,A2A Energy Solutions,1,2,9.13984027396313,45.4955658802597
219,N,A2A Energy Solutions,1,2,9.15650544292264,45.4923527524773
220,N,A2A Energy Solutions,1,2,9.22474027273227,45.4546374614098
221,N,A2A Energy Solutions,1,2,9.109884565743,45.4693429690067
222,N,A2A Energy Solutions,1,2,9.16571912945275,45.485680781296
223,N,A2A Energy Solutions,1,2,9.18163298590308,45.4973623434152
224,N,BeCharge,1,2,9.20473678437832,45.5142694114345
225,N,Credit Agricole,1,2,9.1860076411386,45.4643419216184
226,N,Repower,1,2,9.18060142966597,45.4834198470717
227,F,ENEL X Mobility,1,2,9.23791621014161,45.4858167879584
228,N,ENEL X Mobility,1,2,9.2277482784689,45.4619803591315
229,N,ENEL X Mobility,1,2,9.22671801649375,45.4530515310402
230,N,ENEL X Mobility,1,2,9.21762594353806,45.4610802581055
231,N,ENEL X Mobility,1,2,9.11278688032782,45.4699755996821
232,N,ENEL X Mobility,1,2,9.12922853930073,45.4764954544929
233,N,ENEL X Mobility,1,2,9.15267910611477,45.4837108778881
234,N,ENEL X Mobility,1,2,9.1965037120184,45.5193175032462
235,N,A2A Energy Solutions,1,2,9.1630830596696,45.5138677626365
236,N,ENEL X Mobility,1,2,9.1820769960788,45.4467393026502
237,F,ENEL X Mobility,1,2,9.22713247752584,45.4535475188468
238,N,A2A Energy Solutions,1,2,9.1934609473714,45.4621031938861
